,Test Data,Predicted Price,Difference,C
156,16.2,16.252928365088497,0.05292836508849774,1.0
157,12.0,11.984104251293962,0.01589574870603805,1.0
158,12.0,12.089250303693328,0.08925030369332809,1.0
159,16.2,16.494389746960508,0.29438974696050835,1.0
160,16.8,16.778220995871028,0.021779004128973156,1.0
161,16.2,16.146110096021822,0.0538899039781775,1.0
162,15.9,15.904406191100417,0.004406191100416734,0.0
163,16.7,16.641757510152992,0.058242489847007306,1.0
164,15.9,15.720254205257458,0.1797457947425425,1.0
165,16.7,16.62878123953403,0.07121876046596753,1.0
166,14.5,14.511563788186454,0.01156378818645365,1.0
167,15.9,16.148527622502748,0.2485276225027473,1.0
168,15.6,15.601427931921775,0.0014279319217749276,0.0
169,16.7,16.667146928154935,0.03285307184506436,1.0
170,14.8,14.761604285445662,0.03839571455433877,1.0
171,15.9,16.542964191500854,0.6429641915008535,1.0
172,16.8,16.807971841760793,0.007971841760792131,0.0
173,16.3,16.30237140592926,0.0023714059292601064,0.0
174,16.2,16.207847012392453,0.007847012392453223,0.0
175,15.8,15.75838479765827,0.041615202341731106,1.0
176,17.0,16.84353217807897,0.15646782192103004,1.0
177,12.0,11.966181628375857,0.03381837162414314,1.0
178,16.7,16.55018697577856,0.14981302422144083,1.0
179,16.3,16.330675988177344,0.030675988177343072,1.0
180,16.7,16.648373188931394,0.051626811068604894,1.0
181,12.0,11.988708127047904,0.011291872952096327,1.0
182,11.0,11.003003462374174,0.0030034623741741484,0.0
183,14.5,14.511978574152954,0.01197857415295367,1.0
184,16.7,16.720613967063425,0.020613967063425775,1.0
185,15.6,15.613746833871998,0.013746833871998376,1.0
186,17.0,16.98808757496868,0.011912425031319174,1.0
187,12.0,11.949104910110222,0.05089508988977798,1.0
188,12.0,11.929380576692033,0.07061942330796711,1.0
189,16.2,16.20320989047538,0.0032098904753823376,0.0
190,15.9,16.09717794655079,0.19717794655078968,1.0
191,14.8,14.807133157008153,0.007133157008151869,0.0
192,16.2,16.125504448643103,0.07449555135689678,1.0
193,16.7,16.680023107710944,0.01997689228905486,1.0
194,15.9,15.916450480299696,0.01645048029969587,1.0
195,15.9,16.161047820458037,0.2610478204580371,1.0
196,12.0,12.077895638598307,0.0778956385983065,1.0
197,14.8,14.792241402762027,0.0077585972379736745,0.0
198,10.9,10.842985471337785,0.057014528662215014,1.0
199,16.2,16.27553664598265,0.07553664598265186,1.0
200,11.0,11.008517984937642,0.008517984937641998,0.0
